DATE,NAME_0,N,SCORE
2023-01-01,Afghanistan,1756,0.6380017881548974
2023-01-01,Albania,241,0.6507972821576763
2023-01-01,Algeria,2551,0.6847263433947472
2023-01-01,American Samoa,1,0.573315
2023-01-01,Angola,1880,0.6690894590425533
2023-01-01,Argentina,127742,0.6189849867467239
2023-01-01,Australia,94535,0.6439230039244724
2023-01-01,Austria,6894,0.6762640797795185
2023-01-01,Azerbaijan,1300,0.6529459384615385
2023-01-01,Bangladesh,2451,0.7530277352101185
2023-01-01,Belarus,831,0.6172206642599277
2023-01-01,Belgium,5141,0.6526666234195682
2023-01-01,Benin,2093,0.7776326698518872
2023-01-01,Bhutan,283,0.8642314840989399
2023-01-01,Bolivia,4214,0.6139665809207404
2023-01-01,Bosnia and Herzegovina,2816,0.664759364346591
2023-01-01,Botswana,2321,0.557407519603619
2023-01-01,Brazil,953329,0.6019984513824713
2023-01-01,Brunei,295,0.7128990644067796
2023-01-01,Bulgaria,2130,0.6822913427230046
2023-01-01,Burkina Faso,932,0.7633327553648067
2023-01-01,Burundi,97,0.7402298350515463
2023-01-01,Cambodia,675,0.7246533377777779
2023-01-01,Cameroon,13866,0.6611362889802395
2023-01-01,Canada,58042,0.6795337517659625
2023-01-01,Central African Republic,260,0.7751209846153846
2023-01-01,Chad,5244,0.661378456140351
2023-01-01,Chile,49505,0.6814919097464903
2023-01-01,China,10349,0.6607230503430283
2023-01-01,Colombia,72830,0.628702620884251
2023-01-01,Costa Rica,2471,0.6553342189397005
2023-01-01,Croatia,236,0.5890298983050847
2023-01-01,Cuba,1095,0.7212888995433792
2023-01-01,Czech Republic,5899,0.6185291234107476
2023-01-01,Côte d'Ivoire,4370,0.6466413739130435
2023-01-01,Democratic Republic of the Congo,3165,0.7215974142180094
2023-01-01,Denmark,2901,0.6551819693209238
2023-01-01,Djibouti,49,0.7619617551020408
2023-01-01,Dominican Republic,12236,0.6880734212978098
2023-01-01,Ecuador,30734,0.6647799877009176
2023-01-01,Egypt,27140,0.6469117090641119
2023-01-01,El Salvador,2950,0.6908383644067796
2023-01-01,Equatorial Guinea,2,0.5691515
2023-01-01,Estonia,330,0.611872406060606
2023-01-01,Ethiopia,2349,0.6917337467007239
2023-01-01,Fiji,968,0.6687506384297521
2023-01-01,Finland,7573,0.6324325094414367
2023-01-01,France,46136,0.6698330909701751
2023-01-01,French Guiana,1755,0.6017407829059829
2023-01-01,Gabon,3397,0.5707134977921695
2023-01-01,Gambia,1534,0.7363550717079532
2023-01-01,Georgia,622,0.6584403520900322
2023-01-01,Germany,35031,0.667914368730553
2023-01-01,Ghana,18785,0.6986997369177536
2023-01-01,Greece,4044,0.7022267087042532
2023-01-01,Guadeloupe,34,0.6654569117647059
2023-01-01,Guatemala,5200,0.6431454173076921
2023-01-01,Guinea,571,0.9008744028021015
2023-01-01,Guinea-Bissau,15,0.6673710666666666
2023-01-01,Guyana,2712,0.6548646474926256
2023-01-01,Haiti,101,0.8639615742574258
2023-01-01,Honduras,5982,0.6474981029755934
2023-01-01,Hungary,2979,0.6567361839543471
2023-01-01,Iceland,2229,0.5989691745177209
2023-01-01,India,189317,0.7377435007527058
2023-01-01,Indonesia,117168,0.6130990252031271
2023-01-01,Iran,11679,0.599735169449439
2023-01-01,Iraq,2892,0.6529631348547718
2023-01-01,Isle of Man,316,0.6508682088607596
2023-01-01,Italy,34599,0.6694886882568861
2023-01-01,Japan,323355,0.7161362686118972
2023-01-01,Jordan,3381,0.6559595329784087
2023-01-01,Kazakhstan,1319,0.6472831599696739
2023-01-01,Kenya,10179,0.6443929336870027
2023-01-01,Kosovo,293,0.6146936757679181
2023-01-01,Kyrgyzstan,244,0.6256068647540984
2023-01-01,Laos,58,0.6409886034482758
2023-01-01,Latvia,1631,0.6235632072348253
2023-01-01,Lebanon,2418,0.6814242688172042
2023-01-01,Liberia,1247,0.7070318307939054
2023-01-01,Lithuania,1341,0.6448915443698731
2023-01-01,Luxembourg,211,0.6390148293838863
2023-01-01,Macao,120,0.696517725
2023-01-01,Madagascar,1728,0.66314990625
2023-01-01,Malawi,4842,0.6742559779016936
2023-01-01,Malaysia,44211,0.6338343019384316
2023-01-01,Mali,1837,0.6923039858464888
2023-01-01,Martinique,1393,0.7228250157932519
2023-01-01,Mauritania,149,0.7663355302013424
2023-01-01,Mexico,112458,0.6665759067385156
2023-01-01,Mongolia,2502,0.6439413021582735
2023-01-01,Morocco,2405,0.6371245546777548
2023-01-01,Mozambique,737,0.6243116947082766
2023-01-01,Myanmar,216,0.6813405879629632
2023-01-01,Namibia,3534,0.6155447209960384
